reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-11-10,2025-11-16,46,新型冠状病毒,0.5,1.2
2025-11-03,2025-11-09,45,新型冠状病毒,1.1,0.7
2025-10-27,2025-11-02,44,新型冠状病毒,1.4,1.0
2025-10-20,2025-10-26,43,新型冠状病毒,1.5,0.9
2025-10-13,2025-10-19,42,新型冠状病毒,1.8,1.0
2025-10-06,2025-10-12,41,新型冠状病毒,2.3,1.4
2025-09-29,2025-10-05,40,新型冠状病毒,3.2,2.1
2025-09-22,2025-09-28,39,新型冠状病毒,3.6,1.9
2025-09-15,2025-09-21,38,新型冠状病毒,5.3,2.8
2025-09-08,2025-09-14,37,新型冠状病毒,6.8,3.3
2025-09-01,2025-09-07,36,新型冠状病毒,6.8,3.7
2025-08-25,2025-08-31,35,新型冠状病毒,8.5,4.3
2025-08-18,2025-08-24,34,新型冠状病毒,10.5,4.3
2025-08-11,2025-08-17,33,新型冠状病毒,11.9,5.6
2025-08-04,2025-08-10,32,新型冠状病毒,10.8,4.4
2025-07-28,2025-08-03,31,新型冠状病毒,13.6,4.4
2025-07-21,2025-07-27,30,新型冠状病毒,13.5,4.3
2025-07-14,2025-07-20,29,新型冠状病毒,14.0,5.1
2025-07-07,2025-07-13,28,新型冠状病毒,13.4,6.8
2025-06-30,2025-07-06,27,新型冠状病毒,11.9,6.3
2025-06-23,2025-06-29,26,新型冠状病毒,14.0,6.9
2025-06-16,2025-06-22,25,新型冠状病毒,15.4,6.7
2025-06-09,2025-06-15,24,新型冠状病毒,17.1,9.2
2025-06-02,2025-06-08,23,新型冠状病毒,20.3,8.6
2025-05-05,2025-06-01,19,新型冠状病毒,19.4,24.5
2025-03-31,2025-05-04,14,新型冠状病毒,7.5,11.1
2025-03-24,2025-03-30,13,新型冠状病毒,7.2,2.3
2025-03-17,2025-03-23,12,新型冠状病毒,5.8,2.9
2025-03-10,2025-03-16,11,新型冠状病毒,4.8,2.3
2025-03-03,2025-03-09,10,新型冠状病毒,4.0,2.1
2025-02-24,2025-03-02,9,新型冠状病毒,2.6,1.9
2025-02-17,2025-02-23,8,新型冠状病毒,2.2,1.2
2025-02-10,2025-02-16,7,新型冠状病毒,2.2,1.5
2025-02-03,2025-02-09,6,新型冠状病毒,2.4,1.0
2025-01-27,2025-02-02,5,新型冠状病毒,2.1,2.2
2025-01-20,2025-01-26,4,新型冠状病毒,1.5,1.8
2025-01-13,2025-01-19,3,新型冠状病毒,1.7,1.5
2025-01-06,2025-01-12,2,新型冠状病毒,1.3,1.2
2024-12-30,2025-01-05,1,新型冠状病毒,1.5,1.9
2024-12-23,2024-12-29,52,新型冠状病毒,1.5,1.7
2024-12-16,2024-12-22,51,新型冠状病毒,1.6,2.0
2024-12-09,2024-12-15,50,新型冠状病毒,1.9,2.1
2024-12-02,2024-12-08,49,新型冠状病毒,2.1,1.6
2024-11-25,2024-12-01,48,新型冠状病毒,1.9,1.8
2024-11-18,2024-11-24,47,新型冠状病毒,1.8,1.7
2024-11-11,2024-11-17,46,新型冠状病毒,1.5,1.9
